date,open,close,high,low,change,volume,market_cap
2020-03-24,6436.64,6734.80,6789.02,6411.07,4.63,48221910672,123148917787
2020-03-23,5831.37,6416.31,6443.93,5785.00,10.03,46491916000,117314776187
2020-03-22,6185.56,5830.25,6359.70,5823.71,-5.74,40099664740,106591196069
2020-03-21,6206.52,6185.07,6378.14,5932.82,-0.35,42494390880,113068192795
2020-03-20,6191.65,6198.78,6844.26,5865.78,0.12,54442976103,113309245860
2020-03-19,5245.42,6191.19,6329.74,5236.97,18.03,51000731797,113162079956
2020-03-18,5227.11,5238.44,5331.83,5069.34,0.22,37878801016,95740715529
2020-03-17,5002.58,5225.63,5371.35,4981.91,4.46,38622642935,95499941183
2020-03-16,5385.23,5014.48,5385.23,4575.36,-6.88,45368026430,91633478850
2020-03-15,5201.07,5392.31,5836.65,5169.28,3.68,33997889639,98530059890
2020-03-14,5573.08,5200.37,5625.23,5125.07,-6.69,36154506008,95014981944
2020-03-13,5017.83,5563.71,5838.11,4106.98,10.88,74156772075,101644613038
2020-03-12,7913.62,4970.79,7929.12,4860.35,-37.19,53980357243,90804613601
2020-03-11,7910.09,7911.43,7950.81,7642.81,0.02,38682762605,144508402671
2020-03-10,7922.15,7909.73,8136.95,7814.76,-0.16,42213940994,144465567734
2020-03-09,8111.15,7923.64,8177.79,7690.10,-2.31,46936995808,144706353758
2020-03-08,8908.21,8108.12,8914.34,8105.25,-8.98,39973102121,148060284561
2020-03-07,9121.60,8909.95,9163.22,8890.74,-2.32,36216930370,162684945903
2020-03-06,9078.31,9122.55,9167.70,9032.08,0.49,40826885651,166548261960
2020-03-05,8760.29,9078.76,9142.05,8757.25,3.64,39698054597,165731679918
2020-03-04,8788.54,8755.25,8843.37,8712.43,-0.38,34746706368,159807857328
2020-03-03,8865.39,8787.79,8901.60,8704.99,-0.88,42386715821,160383579416
2020-03-02,8563.26,8869.67,8921.31,8532.63,3.58,42857674409,161861167745
2020-03-01,8599.76,8562.45,8726.80,8471.21,-0.43,35349164300,156238987740
2020-02-29,8671.21,8599.51,8775.63,8599.51,-0.83,35792392544,156895988084
2020-02-28,8788.73,8672.46,8890.46,8492.93,-1.32,44605450443,158211707019
2020-02-27,8825.09,8784.49,8932.89,8577.20,-0.46,45470195695,160238496932
2020-02-26,9338.29,8820.52,9354.78,8704.43,-5.54,50420050762,160879489024
2020-02-25,9651.31,9341.71,9652.74,9305.02,-3.21,42515259129,170369581558
2020-02-24,9921.58,9650.17,9951.75,9537.04,-2.74,45080496648,175977808526
2020-02-23,9663.32,9924.52,9937.40,9657.79,2.7,41185185761,180963233540
2020-02-22,9687.71,9663.18,9698.23,9600.73,-0.25,35838025154,176180696548
2020-02-21,9611.78,9686.44,9723.01,9589.74,0.78,40930547513,176587087363
2020-02-20,9629.33,9608.48,9643.22,9507.90,-0.22,44925260237,175147142158
2020-02-19,10143.80,9633.39,10191.68,9611.22,-5.03,46992019710,175585931679
2020-02-18,9691.23,10142.00,10161.94,9632.38,4.65,47271023953,184838512656
2020-02-17,9936.56,9690.14,9938.82,9507.64,-2.48,45998298413,176585280987
2020-02-16,9889.18,9934.43,10053.97,9722.39,0.46,43374780305,181017665264
2020-02-15,10313.86,9889.42,10341.56,9874.43,-4.12,43865054831,180179996219
2020-02-14,10211.55,10312.12,10322.00,10125.53,0.98,43338264162,187862645449
2020-02-13,10323.96,10214.38,10457.63,10116.16,-1.06,49356071373,186065003526
2020-02-12,10202.39,10326.05,10393.61,10202.39,1.21,43444303830,188081204386
2020-02-11,9855.89,10208.24,10210.05,9729.33,3.58,37648059389,185917114989
2020-02-10,10115.56,9856.61,10165.77,9784.56,-2.56,39386548075,179494809266
2020-02-09,9863.89,10116.67,10129.44,9850.39,2.56,35807884663,184214765394
2020-02-08,9793.07,9865.12,9876.75,9678.91,0.74,35172043762,179615828322
2020-02-07,9726.00,9795.94,9834.72,9726.00,0.72,34522718159,178339437206
2020-02-06,9617.82,9729.80,9824.62,9539.82,1.16,37628823716,177118274394
2020-02-05,9183.42,9613.42,9701.30,9163.70,4.68,35222060874,174983423933
2020-02-04,9292.84,9180.96,9331.27,9112.81,-1.2,29893183716,167093636162
2020-02-03,9344.68,9293.52,9540.37,9248.63,-0.55,30934096509,169126861034
2020-02-02,9389.82,9344.37,9468.80,9217.82,-0.48,30835736946,170034976662
2020-02-01,9346.36,9392.88,9439.32,9313.24,0.5,25922656496,170900662180
2020-01-31,9508.31,9350.53,9521.71,9230.78,-1.66,29432489719,170112778161
2020-01-30,9316.02,9508.99,9553.13,9230.90,2.07,32378792851,172978577931
2020-01-29,9357.47,9316.63,9406.43,9269.47,-0.44,30682598115,169460984603
2020-01-28,8912.52,9358.59,9358.59,8908.45,5.0,34398744403,170205617955
2020-01-27,8597.31,8909.82,8977.73,8597.31,3.63,28647338393,162027957435
2020-01-26,8364.41,8596.83,8602.40,8325.50,2.78,22177678796,156322174637
2020-01-25,8440.12,8367.85,8458.45,8296.22,-0.86,19647331549,152143262650
2020-01-24,8405.57,8445.43,8514.67,8266.84,0.47,24397913026,153536829768
2020-01-23,8680.65,8406.52,8687.75,8333.64,-3.16,25770680779,152813329633
2020-01-22,8744.21,8680.88,8792.99,8636.75,-0.72,22600204051,157783273070
2020-01-21,8658.99,8745.89,8755.71,8544.52,1.0,24097418512,158947996834
2020-01-20,8704.63,8657.64,8745.59,8560.47,-0.54,26422375678,157327553259
2020-01-19,8941.45,8706.25,9164.36,8620.08,-2.63,34217320471,158194319735
2020-01-18,8927.21,8942.81,9012.20,8827.33,0.17,32337772627,162475965880
2020-01-17,8725.21,8929.04,8958.12,8677.32,2.34,36372139320,162211148778
2020-01-16,8812.48,8723.79,8846.46,8612.10,-1.01,31313981931,158465055984
2020-01-15,8825.34,8807.01,8890.12,8657.19,-0.21,40102834650,159959191212
2020-01-14,8140.93,8827.76,8879.51,8140.93,8.44,44841784107,160319484883
2020-01-13,8189.77,8144.19,8197.79,8079.70,-0.56,22482910688,147890525973
2020-01-12,8033.26,8192.49,8200.06,8009.06,1.98,22903438381,148752956966
2020-01-11,8162.19,8037.54,8218.36,8029.64,-1.53,25521165085,145924199942
2020-01-10,7878.31,8166.55,8166.55,7726.77,3.66,28714583844,148249907277
2020-01-09,8082.30,7879.07,8082.30,7842.40,-2.51,24045990466,143016572819
2020-01-08,8161.94,8079.86,8396.74,7956.77,-1.01,31672559265,146645162431
2020-01-07,7768.68,8163.69,8178.22,7768.23,5.08,28767291327,148152237654
2020-01-06,7410.45,7769.22,7781.87,7409.29,4.84,23276261598,140976457304
2020-01-05,7410.45,7411.32,7544.50,7400.54,0.01,19725074095,134469548249
2020-01-04,7345.38,7410.66,7427.39,7309.51,0.89,18444271275,134442464030
2020-01-03,6984.43,7344.88,7413.72,6915.00,5.16,28111481032,133233444755
2020-01-02,7202.55,6985.47,7212.16,6935.27,-3.01,20802083465,126699395235
2020-01-01,7194.89,7200.17,7254.33,7174.94,0.07,18565664997,130580829150
2019-12-31,7294.44,7193.60,7335.29,7169.78,-1.38,21167946112,130446112598
2019-12-30,7420.27,7293.00,7454.82,7276.31,-1.72,22874131672,132235128152
2019-12-29,7317.65,7422.65,7513.95,7279.87,1.43,22445257702,134570835775
2019-12-28,7289.03,7317.99,7399.04,7286.91,0.4,21365673026,132659059740
2019-12-27,7238.14,7290.09,7363.53,7189.93,0.72,22777360996,132139502950
2019-12-26,7274.80,7238.97,7388.30,7200.39,-0.49,22787010034,131200030100
2019-12-25,7325.76,7275.16,7357.02,7220.99,-0.69,21559505149,131840641292
2019-12-24,7354.39,7322.53,7535.72,7269.53,-0.43,22991622105,132687583295
2019-12-23,7508.90,7355.63,7656.18,7326.19,-2.04,27831788041,133275709111
2019-12-22,7191.19,7511.59,7518.03,7167.18,4.46,23134537956,136088022049
2019-12-21,7220.59,7191.16,7223.23,7112.74,-0.41,19312552168,130267655889
2019-12-20,7208.64,7218.82,7257.92,7086.12,0.14,22633815180,130752796980
2019-12-19,7277.59,7202.84,7346.60,7041.38,-1.03,25904604416,130445758713
2019-12-18,6647.70,7276.80,7324.98,6540.05,9.46,31836522778,131754969804
2019-12-17,6931.32,6640.52,6964.07,6587.97,-4.2,22363804217,120234244809
2019-12-16,7153.66,6932.48,7171.17,6903.68,-3.09,20213265950,125515586952
2019-12-15,7124.24,7152.30,7181.08,6924.38,0.39,16881129804,129481424648
2019-12-14,7268.90,7124.67,7308.84,7097.21,-1.98,17137029730,128970221233
2019-12-13,7244.66,7269.68,7293.56,7227.12,0.35,17125736940,131581377758
2019-12-12,7216.74,7243.13,7266.64,7164.74,0.37,18927080224,131087151088
2019-12-11,7277.20,7217.43,7324.16,7195.53,-0.82,16350490689,130609895528
2019-12-10,7397.13,7278.12,7424.02,7246.04,-1.61,18249031195,131696121855
2019-12-09,7561.80,7400.90,7618.09,7365.99,-2.13,17872021272,133904005787
2019-12-08,7551.34,7564.35,7634.61,7476.09,0.17,15409908086,136847419896
2019-12-07,7547.27,7556.24,7589.95,7525.71,0.12,15453520564,136686769529
2019-12-06,7450.56,7547.00,7547.00,7392.18,1.29,18104466307,136504883935
2019-12-05,7253.24,7448.31,7743.43,7232.68,2.69,18816085231,134706455048
2019-12-04,7320.13,7252.03,7539.78,7170.92,-0.93,21664240918,131143073943
2019-12-03,7323.98,7320.15,7418.86,7229.36,-0.05,14797485769,132359942301
2019-12-02,7424.04,7321.99,7474.82,7233.40,-1.37,17082040706,132378982377
2019-12-01,7571.62,7424.29,7571.62,7291.34,-1.95,18720708479,134215145410
2019-11-30,7764.06,7569.63,7836.10,7515.85,-2.5,17158194786,136829391049
2019-11-29,7466.73,7761.24,7781.18,7460.76,3.94,19709695456,140280108521
2019-11-28,7536.82,7463.11,7730.07,7454.12,-0.98,19050116751,134879411013
2019-11-27,7220.88,7531.66,7619.69,6974.17,4.3,23991412764,136102712894
2019-11-26,7145.16,7218.37,7320.23,7098.57,1.02,21129505542,130429018720
2019-11-25,7039.98,7146.13,7319.86,6617.17,1.51,42685231262,129112952930
2019-11-24,7398.63,7047.92,7408.58,7029.29,-4.74,30433517289,127327398565
2019-11-23,7296.16,7397.80,7442.26,7151.42,1.39,21008924418,133636205957
2019-11-22,7643.57,7296.58,7697.38,6936.71,-4.54,34242315785,131791783672
2019-11-21,8023.64,7642.75,8110.10,7597.38,-4.75,22514243371,138031885379
2019-11-20,8203.61,8027.27,8237.24,8010.51,-2.15,20764300437,144962727398
2019-11-19,8305.13,8206.15,8408.52,8099.96,-1.19,21083613816,148178376843
2019-11-18,8573.98,8309.29,8653.28,8273.57,-3.09,21579470673,150025712267
2019-11-17,8549.47,8577.98,8727.79,8500.97,0.33,18668638897,154861842425
2019-11-16,8491.17,8550.76,8592.00,8473.97,0.7,16495389808,154354054194
2019-11-15,8705.71,8491.99,8730.87,8484.84,-2.45,21796856471,153277483626
2019-11-14,8811.94,8708.10,8826.94,8692.55,-1.18,19084739975,157160974644
2019-11-13,8812.03,8808.26,8836.84,8761.65,-0.04,17545755405,158949942842
2019-11-12,8759.75,8815.66,8853.77,8685.43,0.64,20309769107,159068712900
2019-11-11,9056.92,8757.79,9081.28,8700.61,-3.3,20265510765,158009772437
2019-11-10,8812.49,9055.53,9103.83,8806.16,2.76,20587919881,163364406732
2019-11-09,8809.47,8813.58,8891.82,8793.16,0.05,17578630606,158981489715
2019-11-08,9265.37,8804.88,9272.76,8775.53,-4.97,24333037836,158808570729
2019-11-07,9352.39,9267.56,9368.48,9202.35,-0.91,22700383839,167138722904
2019-11-06,9340.86,9360.88,9423.24,9305.91,0.21,23133895765,168806151583
2019-11-05,9413.00,9342.53,9457.42,9256.93,-0.75,26198609048,168459778835
2019-11-04,9235.61,9412.61,9505.05,9191.49,1.92,26170255634,169706332936
2019-11-03,9324.79,9235.35,9379.81,9141.25,-0.96,21132220847,166495319475
2019-11-02,9259.78,9324.72,9377.49,9249.59,0.7,21242676385,168090392935
2019-11-01,9193.99,9261.10,9275.66,9132.05,0.73,24324691031,166928044164
2019-10-31,9202.46,9199.58,9383.16,9028.72,-0.03,26583653947,165804227835
2019-10-30,9422.46,9205.73,9426.87,9085.37,-2.3,27706531577,165899500650
2019-10-29,9248.44,9427.69,9516.18,9232.65,1.94,28426779937,169883866262
2019-10-28,9565.10,9256.15,9805.12,9256.15,-3.23,30948255332,166777392742
2019-10-27,9241.71,9551.71,9749.53,9112.54,3.35,32593129501,172087039875
2019-10-26,8667.58,9244.97,10021.74,8662.62,6.66,44496255609,166547360782
2019-10-25,7490.70,8660.70,8691.54,7479.98,15.62,28705065488,156006603607
2019-10-24,7509.73,7493.49,7532.87,7446.99,-0.22,16268708849,134968410276
2019-10-23,8076.23,7514.67,8093.00,7469.32,-6.95,21942878958,135337364282
2019-10-22,8243.40,8078.20,8296.65,8074.46,-2.0,16803377857,145469660005
2019-10-21,8225.12,8243.72,8296.69,8196.42,0.23,15868748866,148432733155
2019-10-20,7997.81,8222.08,8281.82,7949.44,2.8,15504249442,148026597064
2019-10-19,7973.80,7988.56,8082.63,7944.78,0.19,13797825640,143808163807
2019-10-18,8100.93,7973.21,8138.41,7902.16,-1.58,15651592610,143517630376
2019-10-17,8047.81,8103.91,8134.83,8000.94,0.7,14313052244,145853994298
2019-10-16,8204.67,8047.53,8216.81,7985.09,-1.92,16071646996,144823993562
2019-10-15,8373.46,8205.37,8410.71,8182.71,-2.01,15220412632,147650082215
2019-10-14,8320.83,8374.69,8390.21,8284.13,0.65,15151387859,150680499056
2019-10-13,8336.90,8321.01,8470.99,8276.61,-0.19,13808286059,149700817939
2019-10-12,8315.66,8336.56,8415.24,8313.34,0.25,14532641605,149965767624
2019-10-11,8585.26,8321.76,8721.78,8316.18,-3.07,19604381101,149685618275
2019-10-10,8585.28,8586.47,8625.27,8471.93,0.01,17618660671,154430515160
2019-10-09,8229.84,8595.74,8627.71,8169.30,4.45,19384942333,154579656110
2019-10-08,8246.85,8228.78,8332.72,8185.76,-0.22,15592264032,147966069982
2019-10-07,7989.12,8245.62,8308.45,7905.77,3.21,18009742607,148252589805
2019-10-06,8149.88,7988.16,8161.41,7958.85,-1.98,13160830305,143607672862
2019-10-05,8210.15,8151.50,8215.53,8071.12,-0.71,12200497197,146529229668
2019-10-04,8259.49,8205.94,8260.06,8151.24,-0.65,13139456229,147491804056
2019-10-03,8390.77,8259.99,8414.23,8146.44,-1.56,13668823409,148448162840
2019-10-02,8344.21,8393.04,8393.04,8227.70,0.59,13125712443,150823797662
2019-10-01,8299.72,8343.28,8497.69,8232.68,0.52,15305343413,149913972768
2019-09-30,8104.23,8293.87,8314.23,7830.76,2.34,17115474183,149011567415
2019-09-29,8246.04,8104.19,8261.71,7990.50,-1.72,13034629109,145590374681
2019-09-28,8251.27,8245.92,8285.62,8125.43,-0.06,14141152736,148122503616
2019-09-27,8113.10,8251.85,8271.52,7965.92,1.71,16408941156,148212635834
2019-09-26,8487.67,8118.97,8515.69,7895.63,-4.34,19258205289,145812492488
2019-09-25,8603.43,8486.99,8744.83,8325.40,-1.35,21744728353,152404005091
2019-09-24,9729.32,8620.57,9804.32,8370.80,-11.4,25002886689,154785821876
2019-09-23,10067.96,9729.32,10074.24,9727.14,-3.36,15144925408,174674558023
2019-09-22,10024.12,10070.39,10074.44,9922.53,0.46,13199651698,180784051699
2019-09-21,10183.65,10019.72,10188.10,10000.71,-1.61,13425266806,179853287294
2019-09-20,10266.32,10181.64,10285.87,10132.19,-0.82,14734189639,182738947696
2019-09-19,10200.50,10266.41,10295.67,9851.69,0.65,19937691247,184240949577
2019-09-18,10247.80,10198.25,10275.93,10191.47,-0.48,16169268880,182998899156
2019-09-17,10281.51,10241.27,10296.77,10199.74,-0.39,15304603363,183748515828
2019-09-16,10347.22,10276.79,10386.87,10189.74,-0.68,15160167779,184366827555
2019-09-15,10356.47,10347.71,10387.03,10313.09,-0.08,12043433567,185618174384
2019-09-14,10345.40,10358.05,10422.13,10291.69,0.12,13468713124,185784300332
2019-09-13,10415.36,10360.55,10441.49,10226.60,-0.53,14109864675,185809163035
2019-09-12,10176.82,10410.13,10442.25,10099.24,2.29,15323563925,186678943059
2019-09-11,10123.03,10178.37,10215.95,9980.78,0.55,15428063426,182502788242
2019-09-10,10336.41,10115.98,10394.35,10020.57,-2.13,14906809639,181360731383
2019-09-09,10443.23,10334.97,10450.31,10144.93,-1.04,17595943368,185263578990
2019-09-08,10518.11,10441.28,10595.64,10409.09,-0.73,13670567493,187150078007
2019-09-07,10353.93,10517.25,10558.67,10348.92,1.58,15307366476,188488525926
2019-09-06,10578.20,10353.30,10898.76,10292.30,-2.13,19536574783,185530405363
2019-09-05,10588.18,10575.53,10627.27,10516.42,-0.12,14551239508,189492405383
2019-09-04,10621.18,10594.49,10762.64,10434.71,-0.25,16742664769,189810010608
2019-09-03,10345.73,10623.54,10736.10,10308.55,2.69,19384917989,190312487956
2019-09-02,9757.47,10346.76,10396.59,9730.65,6.04,17248102294,185333114163
2019-09-01,9630.59,9757.97,9796.76,9582.94,1.32,11445355859,174768292883
