date,polarity,subjectivity,filtered_polarity,filtered_subjectivity,open,close,high,low,change,volume,market_cap
2018-05-01,0.011904761904761906,0.20238095238095238,0,1,9251.47,9119.01,9255.88,8891.05,-1.43,7713019904,155114132125
2018-05-02,0.030484848484848493,0.42769696969696963,0,1,9104.6,9235.92,9256.52,9015.14,1.44,7558159872,157119854754
2018-05-03,-0.04320987654320988,0.1367283950617284,0,0,9233.97,9743.86,9798.33,9188.15,5.52,10207299584,165778380092
2018-05-04,-0.013888888888888888,0.05753968253968253,0,0,9695.5,9700.76,9779.2,9585.96,0.05,8217829888,165062796742
2018-05-05,0.075,0.18333333333333335,0,0,9700.28,9858.15,9964.5,9695.12,1.63,7651939840,167759953654
2018-05-06,-0.0050000000000000044,0.35250000000000004,0,1,9845.31,9654.8,9940.14,9465.25,-1.94,7222280192,164316605278
2018-05-07,-0.038636363636363635,0.39343434343434347,0,1,9645.67,9373.01,9665.85,9231.53,-2.83,7394019840,159538115686
2018-05-08,0.059740259740259746,0.07532467532467534,0,0,9380.87,9234.82,9462.75,9127.77,-1.56,7415869952,157202142973
2018-05-09,-0.0421780303030303,0.21113275613275614,0,1,9223.73,9325.18,9374.76,9031.62,1.1,7226890240,158758858205
2018-05-10,0.09375,0.14375,0,0,9325.96,9043.94,9396.04,9040.52,-3.02,6906699776,153988453198
2018-05-11,0.09015151515151515,0.21994949494949498,0,1,9052.96,8441.49,9052.96,8394.46,-6.75,8488520192,143743802092
2018-05-12,0.0,0.0625,0,0,8441.44,8504.89,8664.86,8223.5,0.75,6821380096,144841040789
2018-05-13,0.0,0.0,0,0,8515.49,8723.94,8773.55,8395.12,2.45,5866379776,148587777457
2018-05-14,0.07142857142857142,0.13452380952380955,0,0,8713.1,8716.79,8881.12,8367.97,0.04,7364149760,148480275422
2018-05-15,0.010521885521885519,0.16624579124579122,0,0,8705.19,8510.38,8836.19,8456.45,-2.24,6705710080,144979744412
2018-05-16,0.07571022727272728,0.2190340909090909,0,1,8504.41,8368.83,8508.43,8175.49,-1.59,6760220160,142587497878
2018-05-17,0.01976381461675579,0.26555258467023174,0,1,8370.05,8094.32,8445.54,8054.12,-3.29,5862530048,137923772714
2018-05-18,0.16727272727272727,0.2909090909090909,0,1,8091.83,8250.97,8274.12,7974.82,1.97,5764190208,140607667610
2018-05-19,-0.02500000000000001,0.25,0,1,8255.73,8247.18,8372.06,8183.35,-0.1,4712399872,140559162894
2018-05-20,-0.020995670995670995,0.33041125541125543,0,1,8246.99,8513.25,8562.41,8205.24,3.23,5191059968,145109512565
2018-05-21,-0.09090909090909091,0.36363636363636365,0,1,8522.33,8418.99,8557.52,8365.12,-1.21,5154990080,143518943480
2018-05-22,0.08116883116883115,0.27532467532467536,0,1,8419.87,8041.78,8423.25,8004.58,-4.49,5137010176,137104106176
2018-05-23,0.08818181818181817,0.2790675990675991,0,1,8037.08,7557.82,8054.66,7507.88,-5.96,6491120128,128868479514
2018-05-24,0.05833333333333333,0.21666666666666667,0,1,7561.12,7587.34,7738.6,7331.14,0.35,6049220096,129385391552
2018-05-25,0.10668590668590668,0.24918229918229917,0,1,7592.3,7480.14,7659.14,7392.65,-1.48,4867829760,127573690458
2018-05-26,0.04583333333333333,0.24166666666666667,0,1,7486.48,7355.88,7595.16,7349.12,-1.74,4051539968,125469061263
2018-05-27,0.1424242424242424,0.546969696969697,0,1,7362.08,7368.22,7381.74,7270.96,0.08,4056519936,125695017596
2018-05-28,0.0,0.0375,0,0,7371.31,7135.99,7419.05,7100.89,-3.19,5040600064,121747389422
2018-05-29,-0.027777777777777776,0.1111111111111111,0,0,7129.46,7472.59,7526.42,7090.68,4.81,5662660096,127502651064
2018-05-30,0.1615530303030303,0.4017045454545455,0,1,7469.73,7406.52,7573.77,7313.6,-0.85,4922540032,126391893474
2018-05-31,0.05719696969696969,0.14204545454545456,0,0,7406.15,7494.17,7608.9,7361.13,1.19,5127130112,127902999390
2018-06-01,0.13250473484848485,0.28768939393939397,0,1,7500.7,7541.45,7604.73,7407.34,0.54,4921460224,128725854692
2018-06-02,0.3,0.1,1,0,7536.72,7643.45,7695.83,7497.26,1.42,4939299840,130481526036
2018-06-03,0.03333333333333333,0.20666666666666664,0,1,7632.09,7720.25,7754.89,7613.04,1.16,4851760128,131808021256
2018-06-04,0.024242424242424246,0.3974747474747475,0,1,7722.53,7514.47,7753.82,7474.04,-2.69,4993169920,128312205314
2018-06-05,0.07388888888888888,0.1627777777777778,0,0,7500.9,7633.76,7643.23,7397.0,1.77,4961739776,130365918088
2018-06-06,0.027095959595959583,0.25661616161616163,0,1,7625.97,7653.98,7680.43,7502.01,0.37,4692259840,130725095161
2018-06-07,0.048124999999999994,0.29666666666666675,0,1,7650.82,7678.24,7741.27,7650.82,0.36,4485799936,131153169176
2018-06-08,0.012121212121212128,0.2277056277056277,0,1,7685.14,7624.92,7698.19,7558.4,-0.78,4227579904,130256218613
2018-06-09,0.05,0.16666666666666666,0,0,7632.52,7531.98,7683.58,7531.98,-1.32,3845220096,128682085689
2018-06-10,0.0625,0.22916666666666666,0,1,7499.55,6786.02,7499.55,6709.07,-9.51,5804839936,115948312827
2018-06-11,-0.039814814814814824,0.1787037037037037,0,0,6799.29,6906.92,6910.18,6706.63,1.58,4745269760,118025877189
2018-06-12,0.04739057239057239,0.22895622895622894,0,1,6905.82,6582.36,6907.96,6542.08,-4.68,4654380032,112491874164
2018-06-13,0.032638888888888884,0.2611111111111111,0,1,6596.88,6349.9,6631.66,6285.63,-3.74,5052349952,108530585830
2018-06-14,-0.027462121212121215,0.2635984848484848,0,1,6342.75,6675.35,6707.14,6334.46,5.24,5138710016,114106009748
2018-06-15,0.016942148760330577,0.16325757575757574,0,0,6674.08,6456.58,6681.08,6433.87,-3.26,3955389952,110378702283
2018-06-16,0.10555555555555556,0.35694444444444445,0,1,6455.45,6550.16,6592.49,6402.29,1.47,3194170112,111992015616
2018-06-17,0.22301587301587303,0.3829365079365079,1,1,6545.53,6499.27,6589.11,6499.27,-0.71,3104019968,111134754810
2018-06-18,-0.008428030303030304,0.23787878787878788,0,1,6510.07,6734.82,6781.14,6446.68,3.45,4039200000,115176197712
2018-06-19,-0.045454545454545456,0.2803030303030303,0,1,6742.39,6769.94,6822.5,6709.92,0.41,4057029888,115789919278
2018-06-20,0.0058333333333333345,0.11000000000000001,0,0,6770.76,6776.55,6821.56,6611.88,0.09,3888640000,115916357344
2018-06-21,0.11704545454545455,0.21931818181818183,0,1,6780.09,6729.74,6810.94,6715.17,-0.74,3529129984,115129700024
2018-06-22,-0.019444444444444445,0.3501736111111111,0,1,6737.88,6083.69,6747.08,6006.6,-9.71,5079810048,104088814967
2018-06-23,0.08116883116883115,0.1538961038961039,0,0,6090.1,6162.48,6224.82,6071.81,1.19,3431360000,105449276520
2018-06-24,0.22000000000000003,0.45999999999999996,1,1,6164.28,6173.23,6223.78,5826.41,0.15,4566909952,105646571668
2018-06-25,0.1125,0.3527777777777778,0,1,6171.97,6249.18,6327.37,6119.68,1.25,5500810240,106958465208
2018-06-26,0.06033057851239669,0.24958677685950414,0,1,6253.55,6093.67,6290.16,6093.67,-2.56,3279759872,104307939200
2018-06-27,0.10972222222222223,0.2841666666666667,0,1,6084.4,6157.13,6180.0,6052.85,1.2,3296219904,105403600614
2018-06-28,0.015416666666666667,0.27277777777777773,0,1,6153.16,5903.44,6170.41,5873.05,-4.06,3467800064,101072353482
2018-06-29,-0.0024475524475524473,0.11674991674991676,0,0,5898.13,6218.3,6261.66,5835.75,5.43,3966230016,106474707240
2018-06-30,0.19166666666666665,0.4305555555555556,0,1,6214.22,6404.0,6465.51,6214.22,3.05,4543860224,109665618200
2018-07-01,0.08472222222222224,0.2611111111111111,0,1,6411.68,6385.82,6432.85,6289.29,-0.4,4788259840,109366024632
2018-07-02,-0.006818181818181821,0.21818181818181817,0,1,6380.38,6614.18,6683.86,6305.7,3.66,4396930048,113288832522
2018-07-03,0.11969696969696969,0.1962121212121212,0,0,6596.66,6529.59,6671.37,6447.75,-1.02,4672309760,111849428104
2018-07-04,0.049999999999999996,0.36428571428571427,0,1,6550.87,6597.55,6771.92,6450.46,0.71,4176689920,113024522547
2018-07-05,-0.1547619047619048,0.3071428571428571,0,1,6599.71,6639.14,6749.54,6546.65,0.6,4999240192,113748385620
2018-07-06,0.015800865800865798,0.18024891774891774,0,0,6638.69,6673.5,6700.94,6533.55,0.52,4313959936,114350502582
2018-07-07,-0.08125,0.2333333333333333,0,1,6668.71,6856.93,6863.99,6579.24,2.82,3961080064,117506606000
2018-07-08,0.0,0.0,0,0,6857.8,6773.88,6885.91,6747.98,-1.22,3386210048,116097021279
2018-07-09,0.11083333333333334,0.3158333333333333,0,1,6775.08,6741.75,6838.68,6724.34,-0.49,3718129920,115557889495
2018-07-10,0.026056864945753835,0.23898241676019452,0,1,6739.21,6329.95,6767.74,6320.72,-6.07,4052430080,108511009626
2018-07-11,0.08037518037518036,0.27135642135642135,0,1,6330.77,6394.71,6444.96,6330.47,1.01,3644859904,109631867446
2018-07-12,-0.020292207792207795,0.2502164502164502,0,1,6396.78,6228.81,6397.1,6136.42,-2.63,3770170112,106798864820
2018-07-13,0.02777777777777778,0.05555555555555555,0,0,6235.03,6238.05,6310.55,6192.24,0.05,3805400064,106968440793
2018-07-14,0.10037878787878789,0.36098484848484846,0,1,6247.5,6276.12,6298.19,6212.22,0.46,2923670016,107631453835
2018-07-15,0.0,0.0,0,0,6272.7,6359.64,6403.46,6256.51,1.39,3285459968,109074579938
2018-07-16,0.05303030303030303,0.24621212121212122,0,1,6357.01,6741.75,6741.75,6357.01,6.05,4725799936,115638203962
2018-07-17,0.023895202020202014,0.1921717171717172,0,0,6739.65,7321.04,7387.24,6684.17,8.63,5961950208,125588963706
2018-07-18,0.06302083333333333,0.22031250000000002,0,1,7315.32,7370.78,7534.99,7280.47,0.76,6103410176,126458165406
2018-07-19,0.022835497835497837,0.13097943722943722,0,0,7378.2,7466.86,7494.46,7295.46,1.2,5111629824,128122730711
2018-07-20,0.009595959595959595,0.07920875420875421,0,0,7467.4,7354.13,7594.67,7323.26,-1.52,4936869888,126202570251
2018-07-21,0.07575757575757576,0.29848484848484846,0,1,7352.72,7419.29,7437.64,7262.41,0.91,3726609920,127333468174
2018-07-22,0.109375,0.18125,0,0,7417.8,7418.49,7537.95,7383.82,0.01,3695460096,127336615249
2018-07-23,0.046875,0.3958333333333333,0,1,7414.71,7711.11,7771.5,7409.1,4.0,5132480000,132375368459
2018-07-24,0.06166666666666667,0.385,0,1,7716.51,8424.27,8424.27,7705.5,9.17,7277689856,144634918474
2018-07-25,0.047294372294372285,0.21677489177489176,0,1,8379.66,8181.39,8416.87,8086.36,-2.37,5845400064,140482950401
2018-07-26,0.19769886363636363,0.4042045454545454,0,1,8176.85,7951.58,8290.33,7878.71,-2.75,4899089920,136553079708
2018-07-27,0.016666666666666666,0.2125,0,1,7950.4,8165.01,8262.66,7839.76,2.7,5195879936,140235573607
2018-07-28,0.0909090909090909,0.23636363636363636,0,1,8169.06,8192.15,8222.85,8110.77,0.28,3988750080,140716560550
2018-07-29,-0.044444444444444446,0.25277777777777777,0,1,8205.82,8218.46,8272.26,8141.18,0.15,4107190016,141185844808
