PC1,PC2,PC3,PC4,label
3.484325,1.008981,-1.454038,0.00235,1
3.614973,-0.933819,-0.57379,0.19529,1
3.624431,-0.74745,0.454131,0.149282,1
3.5654,-1.039998,-0.526947,0.212218,1
3.597683,-1.591979,-1.525019,0.316359,0
3.586777,-0.352786,-1.517291,0.184512,0
3.566805,0.020981,-2.581282,0.16849,1
3.749192,-0.950893,1.931206,0.128375,1
3.653524,-0.129029,-0.017147,0.119533,0
3.691124,-0.141868,1.293884,0.082533,1
3.750126,-1.511904,-1.016325,0.319423,0
3.770373,-1.006835,-0.071884,0.239753,1
3.550706,2.088092,-0.232996,-0.129899,1
3.713855,-1.305914,-1.931867,0.283144,0
3.772471,-1.116814,0.345954,0.204291,1
3.575216,1.139492,-1.186011,-0.011951,1
3.712208,-1.355438,-1.165467,0.289226,1
3.695942,-1.470271,-1.579328,0.314072,0
3.560482,0.745517,-1.199016,0.027142,1
3.740755,-1.209034,0.548333,0.204761,0
3.65741,-0.555726,-0.486518,0.159975,1
3.690493,-0.663664,0.617615,0.137685,1
3.624306,0.224418,0.111085,0.067831,0
3.648447,-0.274318,-0.476393,0.140513,0
3.498501,1.566642,-1.366391,-0.06595,1
3.698518,-0.751807,0.394849,0.16977,1
3.623653,0.092379,-0.150063,0.088339,1
3.608888,0.566863,0.382438,0.014594,1
3.766605,-0.992888,2.59204,0.098849,0
3.692262,-1.271203,-0.78733,0.250873,1
3.621692,-0.531707,-0.915747,0.177706,1
3.584067,-0.181021,-0.780969,0.125807,1
3.441062,1.606675,-1.080927,-0.094388,1
3.634663,-1.215323,-0.414628,0.226186,1
3.502527,1.658514,1.555751,-0.150823,1
3.387741,2.112533,-1.365635,-0.13245,0
3.636231,-1.134298,0.006421,0.194461,1
3.654486,-1.497226,0.328763,0.215017,1
3.514511,0.251361,-0.464373,0.052445,1
3.365031,2.80344,-0.664058,-0.199333,0
3.687638,-0.873825,1.376528,0.139234,0
3.73744,-1.017962,3.229234,0.067535,1
3.642877,-1.593852,-1.368834,0.270236,0
3.601261,-1.147274,-2.144011,0.26461,0
3.488708,1.326305,-0.255736,-0.072331,1
3.660724,-0.515791,1.555824,0.088528,1
3.713864,-1.497061,1.795722,0.165338,1
3.636687,-0.558514,1.361395,0.097121,1
3.671863,-1.163307,1.732043,0.123368,1
3.665742,-1.751145,0.167619,0.229488,0
3.437754,1.134152,-0.958005,-0.057981,1
3.567752,-1.258099,-1.231642,0.2421,1
3.575519,-0.741026,0.416175,0.131837,1
3.453437,-0.556392,-2.450541,0.173637,1
3.467167,-0.187357,-0.6242,0.092979,1
3.51617,-0.507579,-0.237554,0.106701,0
3.506808,-0.631334,-0.791468,0.133612,1
3.547395,-0.959427,0.206026,0.14882,1
3.549252,-1.568886,-0.821449,0.244173,0
3.49074,-0.778536,-0.610944,0.15605,1
3.260254,2.20524,-0.906069,-0.179478,1
3.552953,-1.893405,0.666924,0.214499,1
3.470866,0.900951,3.378235,-0.146893,0
3.272432,1.118167,-2.812012,-0.019503,1
3.343938,0.75188,-0.794553,-0.046788,1
3.509113,-1.232493,-0.161961,0.188844,0
3.518396,-0.556027,0.381291,0.120078,0
3.584769,-1.491113,0.509672,0.193069,1
3.522855,-0.642399,-0.020127,0.167587,0
3.532348,-0.006324,1.528362,0.023971,1
3.49376,-0.250984,0.72475,0.050291,1
3.372147,0.212649,-1.709653,0.069179,1
3.480661,-0.602472,0.031321,0.119173,1
3.436669,-0.239221,-0.377897,0.090168,1
3.552424,-1.036688,1.465725,0.150717,0
3.60095,-1.65178,0.353345,0.263309,0
3.371184,2.68258,-0.418936,-0.17382,0
3.713578,-1.071263,2.973913,0.108583,1
3.567917,0.156001,0.815375,0.056133,1
3.541441,-0.817355,-1.143108,0.205277,1
3.563215,0.115391,1.117289,0.053825,0
3.559351,-0.111338,-0.16347,0.104678,0
